"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"Per3",7.46326208053445,7.13613882217386,7.72752546158848,8.14595314947141,8.39812658136515,8.32229358491705,8.10806425622081,8.19492824920035,7.98974940344585,7.67045910371111,7.88827395660975,8.20830410532132
"Plscr2",4.58452682524301,4.31165498644399,4.68589949688639,4.47717933993216,4.71968078244316,4.62159329000137,5.9938855439146,5.95579614322448,5.76993594859643,5.23112816559252,5.54465151171957,5.14623243457731
"Lgals3bp",7.00951197392294,6.68040038894757,6.83676403734379,6.66829092616397,6.71923325411561,6.72469602511089,8.46944643877927,8.10248293005646,8.39586026695095,7.94315176588669,7.83065563017487,8.04030240316738
"Eif2ak2",4.63192333050615,4.77150846718956,4.48557260118727,4.91253429719186,4.69491849268287,4.62954055166701,6.11593471635197,5.99335314589698,5.7836328831317,5.36656793155514,5.27524653241578,5.40886379223092
"Ptprc",6.87967145228302,6.3794362827851,6.57006480199637,6.47931025131618,6.67642722466663,6.68421010303474,8.46773950252256,8.34483315645761,8.31211565175911,7.35179720007337,7.75886692303477,7.50393135042394
"Trim30a",5.28752919336215,4.81621559340681,4.8365410534789,5.26706630520249,5.13765519267396,5.2058331708204,8.20713092517235,7.60784477135322,7.62323548348189,6.48071411465947,6.70598465578155,6.70875758593534
"S100a5",8.35382802240461,8.45305629997664,8.49383572804529,8.75890881810144,8.14496420210119,8.7375782796162,7.39583112153201,6.96137122687315,7.09904919922306,6.97512417287297,6.95491171527076,6.7223451837217
"Ccl12",6.18423101396043,5.02524682868314,4.70312336266122,4.40198434314535,4.65902162155744,4.48114222658637,8.77510527551799,8.3463385414506,8.90406227742962,6.44514795881085,7.08930618404876,6.83994800565717
"Ccl2",5.64864376357765,5.89414888419285,5.41479194401712,5.78883071944356,5.64214933517596,5.57979530080401,7.57993675229511,7.27319755555021,7.0832983360388,6.25342715597975,6.19609017062848,6.08052531057046
"Ccl3",4.46860185264299,4.53865511532981,4.43212364070484,4.44067385115929,4.60925281834065,4.39624622113901,6.3690341758971,6.45145951539197,6.13318507091904,4.7332255807636,5.11311728902706,5.03929943682046
"Ccl5",5.57644127724817,5.65028528309302,5.57644127724817,5.27875428035521,5.7934056118914,5.1255543940541,8.58096767665115,8.43681319584404,8.39276594419343,7.00128499846625,7.59255635694436,7.42567755011936
"Slfn4",5.09723729453796,4.3438606537051,4.69452299817884,4.65342009045133,4.64298882277473,4.40499042636014,8.83050867293862,8.64315120436363,8.06676453162046,5.56712062534093,6.08601570544604,5.81070775169687
"Trim21",7.37647681204972,6.98776168564578,7.20433477528387,7.06537891337221,7.15299535955712,7.3487101108338,8.8472269598917,8.36414157020655,8.20136840585818,7.74345565738429,7.87231119228487,7.78383404683814
"Stat1",5.54561022498144,4.86022756204263,4.89558071337252,5.19753516060001,5.42165670278099,5.34132578343059,7.37923418874507,7.07676874959997,7.24506691626135,6.23888997303366,6.57793435620264,6.19497391488768
"Samd9l",7.85045784032882,7.56578494800327,7.48660675020298,7.7049226538601,7.49902688103248,7.4766392688227,9.50881042085523,9.12829475028916,9.08329475345117,8.10912609299029,8.29326058107314,8.16389526547186
"Dtx3l",7.73197485344174,6.9993150860404,7.45005323575358,7.26056103326723,7.44772978269411,7.26983725857307,9.14065322384859,8.96265254909684,8.62403317588575,8.08793515216504,8.12571618080977,7.93086919194115
"Trim30d",6.06871308833015,5.29927403100238,5.83219284790129,5.33179990635126,5.97550902247525,5.85783328597177,8.34200779878576,8.03455649121556,7.91557725266972,6.94773529496346,7.19242388113916,7.15931644041014
"Calhm6",4.52647690348705,4.49034078262647,4.37046494139757,4.40212805733037,4.36126647078461,4.76066628960445,6.54766922424707,6.36742722712787,5.5654788542456,4.98740532902264,5.3462177390552,5.06688487843831
"Tgfbi",6.89696214008889,6.51445580365829,6.60150138397479,6.36974930897286,6.60597686733826,6.55030803424382,7.92455324073899,7.59811236343848,7.819860473085,6.89517028975749,7.1549526248032,6.95628850848125
"Timp1",5.39351314188128,5.314508143847,5.14257552087615,5.43167057959652,5.1852000615132,5.32011463544093,6.26644114540832,6.17158577951588,7.63243574219289,5.6319660734446,5.46913365744633,5.48855361779735
"Tshb",6.28854007125662,5.93790947104149,6.53439235599781,5.57092587201463,5.7628810670758,5.36907107799177,5.79562684666868,5.25273187821893,6.01349467013151,6.00477952324798,6.52116794094496,5.9140588773278
"Xdh",6.20696635676844,5.91376375501682,6.30770965943275,6.32039556125823,6.39454898340702,6.25615787449982,7.77461167734507,7.36123664866852,7.1779274724862,6.33616085581507,6.62370496518045,7.03090970965566
"Ifi207",3.31363957561653,3.60475495617306,3.34733786417599,3.56914934174897,3.42467608065155,3.28538939889199,5.08267706229893,4.99904007330281,4.87978992891087,3.65834722162728,3.84617151843408,3.66693444792897
"Cytip",4.90848786295814,4.42518598149314,4.93289427934541,4.64383973844913,4.83360330820548,4.60482825932077,6.49093161209712,6.03615286693003,5.88290856663599,4.94863391032794,5.35735315793774,4.82803006503705
"Helz2",6.26324186809926,6.18790635805771,5.89852751082674,5.90662699062512,5.99549804433095,5.91968275556463,7.55804630979599,7.39772171888583,7.27917265974113,6.61701079620327,6.70604990170237,6.61072775031904
"Gbp7",8.23741161595447,7.6578015986208,7.72725710427143,7.91469948813152,7.73751933906489,8.03985467212422,10.4125074874061,10.0956968778174,10.0896578761023,8.99068172995682,9.18404884717329,9.08129689123078
"Ddx58",5.36541694791958,5.08695485736792,5.32586868771812,5.09588293950196,5.26919166416452,5.13121065191552,6.86140895965564,6.67137735606841,6.43057256801933,5.51292540878253,5.41929511104177,5.65927618904721
"Plac8",5.88174934151964,5.5198938931052,5.35069571845015,5.09517328410569,5.98966275775574,5.41527767447301,9.41591140155827,8.88448731746768,8.78727146536413,7.03417060329951,7.38316011430792,6.78666896305289
"Oasl1",6.03079222727659,5.8345622732625,5.6931728243299,5.76880829664291,5.71317554320762,5.75075034092133,7.44096753580092,7.21957034005769,7.04932817766514,6.11730694794886,6.2193547025986,6.12259369273364
"Ddx60",4.34538869466181,4.19779127887527,4.41767351751161,3.90135906933224,4.60291995256722,4.40431958543866,6.03420332999997,5.86039614814945,5.4407687352047,4.93650133958666,5.51294556414245,5.19467009083434
"Ifi209",3.52798930788243,3.48627841204072,3.51261196302791,3.74252625825114,3.54927046382047,3.69445222785445,7.08589811803792,6.96503286720005,6.6312307523015,4.46691850633566,5.06177722353007,4.63931920275838
"Cd52",6.88912596548797,6.62958089471589,6.54366660784854,6.29438806441653,6.30970713728425,6.46353102358623,8.6774832494137,8.3447867494912,8.46136042247924,7.58126313468969,7.74884104787696,7.87546152406119
"Oasl2",5.18113508150628,5.26189522606404,5.15212741220642,5.23193604697841,5.00907105428904,5.24702769413424,8.70177646792857,8.24650898555434,8.43080008702861,7.45789840448616,7.62711658020603,7.40373297529489
