"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"1447958_at",5.40727151908999,5.20630969577713,5.23153422921399,5.21976354093338,5.45903115735436,5.45734132326423,5.40479947189184,5.51941828928257,5.29901825251341,5.61147570133374,5.41011962800723,5.4102565475917
"1440450_at",5.98678609876919,5.75728348311557,6.34439880058432,6.09262688644583,6.18665227949086,6.1417084750417,5.74899572329081,6.06998707139052,6.08159093999863,5.84304372135326,6.20189070364875,6.13270100113722
"1430338_at",6.38705607830296,5.69130167962712,6.23587337019081,6.0237869946318,6.20792477135121,6.17890188625658,6.00788453381394,6.13822932399494,6.24790901319898,6.37962336797066,6.35436835427245,6.15878737076473
"1441151_at",5.90949938001012,5.8762299322092,5.50055127036774,5.95320620827539,5.85542315444705,5.77256642112817,5.82938976605382,5.81328772759572,5.67313168456833,5.93699701823243,6.0904820590713,5.60264209033624
"1430740_at",4.14869838574947,4.19358888425175,4.15364642589377,4.29426758428504,4.31813979400349,4.1951214994421,4.07507580829544,3.85388717567865,3.97302471370036,4.16789498339042,4.02817401064105,3.88771338902649
"1442584_at",4.85667616918045,4.69943282641286,4.43430283493473,4.61384088808598,4.40774414811785,4.51779754929981,5.02366830364171,4.86619196670266,4.49700157899051,4.2573059355317,4.6585514906915,4.62334221022107
"1440475_at",6.10853668066184,6.1200331895012,6.1648823052156,6.39344652055234,6.1152248133716,6.1244724736863,6.48001527259379,6.3737059319975,6.58354600288191,6.37533487682429,6.43446068773413,6.51727775103787
"1443736_at",6.00342379661942,6.01323128064281,5.94178050468317,5.64901004849235,5.93845206317468,5.94491031509157,6.02431934652152,5.66585487527836,5.79932512859437,5.94135887646059,5.8162759946616,5.70418460665645
"1456827_at",4.40518170725396,4.69359221906248,4.98316742337553,4.9348625853395,4.90691065686915,4.99796713045469,4.78849497110529,4.71412963014627,5.31939967153242,5.2996110515038,5.33641377695337,4.90333262808224
"1432769_at",4.69188818476046,4.69468310019759,4.79534052167873,4.51377111258777,4.74196493252779,4.5804523604662,4.82466367433732,4.79746350684028,4.57348364311706,4.85504647512563,4.95412608297762,4.87743226429479
"1445817_at",5.57329677801769,5.71547216679756,5.8094852645186,5.77842053396337,5.88470310404881,5.66662523745154,5.66447314791458,5.5944779965101,5.89961657524542,5.85810586342733,5.91331329668963,5.91481392936184
"1458264_at",5.47908149604609,5.50005241946741,5.27751745701405,5.33804847860957,4.81504537781427,5.009852493337,5.16214549595692,4.88007775289622,4.90126727770382,4.73265043842148,5.18601341859807,5.12747603720152
"1456547_at",8.57412445139817,8.60729614478388,8.84153349171709,8.95889836780627,8.87047502609499,8.97070725687597,8.55902556093368,8.65164958561604,8.60012674588543,8.65187366859534,8.74028473053627,8.724487430065
"1435403_at",4.94801636874361,5.22329454150714,5.21170544019194,4.86543931503405,4.97347109631065,5.19247895854583,5.06218619491728,4.92096860025059,4.81339086131981,4.86207525063271,5.17697531851415,4.91210095417842
"1445606_a_at",6.16007899885742,5.69038186510233,6.05465191330771,6.08092492246542,6.02676533109271,6.08984523946988,6.0073721519432,5.92191691608904,5.81137288237115,5.88296030958771,6.20097360887352,5.83729673187805
"1435119_at",8.49600716311155,8.58031618410346,8.51563287251185,8.42602560481869,8.5520364811781,8.54732822184808,9.6196330111494,9.26153847285295,9.00612955521449,8.6651577376609,9.05417023189906,9.3544369951515
"1440126_at",4.21877890321048,4.91623638520709,4.56131103380699,4.68107291412194,4.55871998092842,4.24414695855743,4.35705491383756,4.43069496905063,3.99396482697026,4.3125505006808,4.3156626042014,4.49169614065557
"1459662_at",5.10667930592148,5.03802753023745,5.38138608769698,4.59305949917209,5.35448958635757,5.07639471500591,5.28409418769975,5.33632742202577,5.22415929124309,5.19655391154557,5.01321207950327,5.28406439341153
"1441194_at",5.8000361764219,5.25021910648615,5.6051873467408,4.97682421678461,5.64169305837717,5.75859874698538,5.29655329188236,5.04470763522739,5.78365740772252,5.86009728121001,5.80482340412988,5.83442798338589
"1442396_at",5.39441548984289,5.52773416487007,5.13047419841109,5.34546948698744,5.19975337217828,5.00777416058204,5.22604644326849,5.43770714566774,5.13047419841109,5.27671812042032,5.13440636675835,5.39681990226612
